,Model,delta,RMSE
17,LinearSVR,-1:05,2.0944270263691207
18,OrthogonalMatchingPursuit,-1:05,2.1126336236479983
19,OrthogonalMatchingPursuitCV,-1:05,2.1126336236479983
20,KNeighborsRegressor,-1:05,2.126821040666072
21,PoissonRegressor,-1:05,2.131917889446435
22,LarsCV,-1:05,2.141921978044632
23,GammaRegressor,-1:05,2.261002779745448
24,TweedieRegressor,-1:05,2.2722860485695002
25,ElasticNet,-1:05,2.3147221787267798
26,LassoLars,-1:05,2.3681263099645355
27,DecisionTreeRegressor,-1:05,2.632053252690733
28,ExtraTreeRegressor,-1:05,2.693483745864731
29,AdaBoostRegressor,-1:05,2.8147287851314697
30,DummyRegressor,-1:05,2.9966380864076663
31,Lars,-1:05,3.905387185953145
32,PassiveAggressiveRegressor,-1:05,5.899061396809933
33,RANSACRegressor,-1:05,23.092360584407192
0,ExtraTreesRegressor,-1:10,1.831595771190475
1,XGBRegressor,-1:10,1.891809600501507
2,BaggingRegressor,-1:10,1.9025237164633004
3,HistGradientBoostingRegressor,-1:10,1.93177658314722
4,LGBMRegressor,-1:10,1.9331084370956775
5,MLPRegressor,-1:10,1.9916169053340287
6,GradientBoostingRegressor,-1:10,2.01457539633146
7,LassoLarsIC,-1:10,2.0707158590318535
8,LassoLarsCV,-1:10,2.0707217597766325
9,BayesianRidge,-1:10,2.0707903510672527
10,Ridge,-1:10,2.0708213582356434
11,RidgeCV,-1:10,2.0708213582694794
12,TransformedTargetRegressor,-1:10,2.0708314307958244
13,LassoCV,-1:10,2.0711169747006895
14,ElasticNetCV,-1:10,2.0759452428211693
15,SGDRegressor,-1:10,2.077673414684284
16,HuberRegressor,-1:10,2.0831152170628906
17,LinearSVR,-1:10,2.0918058387372653
18,OrthogonalMatchingPursuit,-1:10,2.1128637055497608
19,OrthogonalMatchingPursuitCV,-1:10,2.1128637055497608
20,KNeighborsRegressor,-1:10,2.1243490867812005
21,PoissonRegressor,-1:10,2.132066654520563
22,LarsCV,-1:10,2.141921978044632
23,GammaRegressor,-1:10,2.2610369887555795
24,TweedieRegressor,-1:10,2.272205863800812
25,ElasticNet,-1:10,2.31472218798088
26,LassoLars,-1:10,2.3681263099645355
27,DecisionTreeRegressor,-1:10,2.6360314412637758
28,ExtraTreeRegressor,-1:10,2.7509195251864904
29,AdaBoostRegressor,-1:10,2.7928566721451262
30,DummyRegressor,-1:10,2.9966380864076663
31,Lars,-1:10,4.4338643043099095
32,PassiveAggressiveRegressor,-1:10,5.228620678088297
33,RANSACRegressor,-1:10,6.945084473744289
0,ExtraTreesRegressor,-1:15,1.8250862485333896
1,XGBRegressor,-1:15,1.8942980897334614
2,BaggingRegressor,-1:15,1.8956169646860777
3,LGBMRegressor,-1:15,1.9296689020179347
4,HistGradientBoostingRegressor,-1:15,1.930012390398747
5,MLPRegressor,-1:15,2.0075603565884137
6,GradientBoostingRegressor,-1:15,2.0130961947395978
7,LassoLarsCV,-1:15,2.0707025067625464
8,LassoLarsIC,-1:15,2.0707177088864435
9,BayesianRidge,-1:15,2.070792607344845
10,Ridge,-1:15,2.0708262465568748
11,RidgeCV,-1:15,2.070826246572934
12,TransformedTargetRegressor,-1:15,2.070836397443091
13,LassoCV,-1:15,2.071110958187883
14,ElasticNetCV,-1:15,2.0759453397623484
15,SGDRegressor,-1:15,2.078380238896255
16,HuberRegressor,-1:15,2.083649593858903
17,LinearSVR,-1:15,2.0924763706217426
18,OrthogonalMatchingPursuit,-1:15,2.1128637055497608
19,OrthogonalMatchingPursuitCV,-1:15,2.1128637055497608
20,KNeighborsRegressor,-1:15,2.1186566743240105
21,PoissonRegressor,-1:15,2.1321701006717824
22,LarsCV,-1:15,2.141921978044632
23,GammaRegressor,-1:15,2.261153663871251
24,TweedieRegressor,-1:15,2.272230434712045
25,ElasticNet,-1:15,2.3147221924109145
26,LassoLars,-1:15,2.3681263099645355
27,DecisionTreeRegressor,-1:15,2.599943524932368
28,ExtraTreeRegressor,-1:15,2.70012310484099
29,AdaBoostRegressor,-1:15,2.811610771116808
30,DummyRegressor,-1:15,2.9966380864076663
31,Lars,-1:15,4.250310142184314
32,PassiveAggressiveRegressor,-1:15,5.128319546360774
33,RANSACRegressor,-1:15,22.061488290125766
0,ExtraTreesRegressor,-1:20,1.8184497729069062
1,XGBRegressor,-1:20,1.8895971545451065
2,BaggingRegressor,-1:20,1.896391305632972
3,LGBMRegressor,-1:20,1.9286589554771707
4,HistGradientBoostingRegressor,-1:20,1.932689984366191
5,MLPRegressor,-1:20,1.9896104779478003
6,GradientBoostingRegressor,-1:20,2.014213622669282
7,LassoLarsCV,-1:20,2.070694611250932
8,LassoLarsIC,-1:20,2.070729488707621
9,BayesianRidge,-1:20,2.0708601103656705
10,Ridge,-1:20,2.070896606612285
11,RidgeCV,-1:20,2.0708966066172243
12,TransformedTargetRegressor,-1:20,2.070906889725547
13,LassoCV,-1:20,2.071176082205942
